,Regret,Mean,MSNAMR,MSPACF,MSEMKG,MSEMUI,MSEXEM,JPMUSU,JPMJPU,JAGALL,JPMUKU,SBSZEUE,JPMPTOT,JPEC3M,JPUS3M,JPJP3ML,,Regret,Mean,MSNAMR,MSPACF,MSEMKG,MSEMUI,MSEXEM,JPMUSU,JPMJPU,JAGALL,JPMUKU,SBSZEUE,JPMPTOT,JPEC3M,JPUS3M,JPJP3ML
0,0.3989231073181034,100.03003661948054,5.085191015121673,0.0,0.0,2.5641212209587847,0.0,0.0,0.0,6.053400034807381,2.989538436384425,0.0,0.28053767030498256,38.3604996022737,44.66671202014906,0.0,,0.3989231073181034,100.6331154941827,5.085191014068021,0.0,0.0,2.564121220150529,0.0,0.0,0.0,6.053400032732984,2.989538439221176,0.0,0.28053766958639226,38.36049960555858,44.666712018682325,0.0
1,0.39892310731811526,100.0981927144156,5.085191015101694,0.0,0.0,2.5641212209585675,0.0,0.0,0.0,6.053400034845902,2.989538436430869,0.0,0.2805376702854184,38.36049960219669,44.66671202018086,0.0,,0.39892310731811526,100.63311549419038,5.085191014667559,0.0,0.0,2.564121220622426,0.0,0.0,0.0,6.053400033954652,2.989538437602863,0.0,0.2805376699947947,38.36049960359644,44.666712019561274,0.0
2,0.39892310731811526,100.16634880935067,5.085191015101694,0.0,0.0,2.5641212209585675,0.0,0.0,0.0,6.053400034845902,2.989538436430869,0.0,0.2805376702854184,38.36049960219669,44.66671202018086,0.0,,0.39892310731811526,100.63311549419038,5.085191014667559,0.0,0.0,2.564121220622426,0.0,0.0,0.0,6.053400033954652,2.989538437602863,0.0,0.2805376699947947,38.36049960359644,44.666712019561274,0.0
3,0.39892310731811526,100.23450490428574,5.085191015101694,0.0,0.0,2.5641212209585675,0.0,0.0,0.0,6.053400034845902,2.989538436430869,0.0,0.2805376702854184,38.36049960219669,44.66671202018086,0.0,,0.39892310731811526,100.63311549419038,5.085191014667559,0.0,0.0,2.564121220622426,0.0,0.0,0.0,6.053400033954652,2.989538437602863,0.0,0.2805376699947947,38.36049960359644,44.666712019561274,0.0
4,0.39892310731811526,100.3026609992208,5.085191015101694,0.0,0.0,2.5641212209585675,0.0,0.0,0.0,6.053400034845902,2.989538436430869,0.0,0.2805376702854184,38.36049960219669,44.66671202018086,0.0,,0.39892310731811526,100.63311549419038,5.085191014667559,0.0,0.0,2.564121220622426,0.0,0.0,0.0,6.053400033954652,2.989538437602863,0.0,0.2805376699947947,38.36049960359644,44.666712019561274,0.0
5,0.39892310731811526,100.37081709415587,5.085191015101694,0.0,0.0,2.5641212209585675,0.0,0.0,0.0,6.053400034845902,2.989538436430869,0.0,0.2805376702854184,38.36049960219669,44.66671202018086,0.0,,0.39892310731811526,100.63311549419038,5.085191014667559,0.0,0.0,2.564121220622426,0.0,0.0,0.0,6.053400033954652,2.989538437602863,0.0,0.2805376699947947,38.36049960359644,44.666712019561274,0.0
6,0.39892310731811526,100.43897318909094,5.085191015101694,0.0,0.0,2.5641212209585675,0.0,0.0,0.0,6.053400034845902,2.989538436430869,0.0,0.2805376702854184,38.36049960219669,44.66671202018086,0.0,,0.39892310731811526,100.63311549419038,5.085191014667559,0.0,0.0,2.564121220622426,0.0,0.0,0.0,6.053400033954652,2.989538437602863,0.0,0.2805376699947947,38.36049960359644,44.666712019561274,0.0
7,0.39892310731811526,100.507129284026,5.085191015101694,0.0,0.0,2.5641212209585675,0.0,0.0,0.0,6.053400034845902,2.989538436430869,0.0,0.2805376702854184,38.36049960219669,44.66671202018086,0.0,,0.39892310731811526,100.63311549419038,5.085191014667559,0.0,0.0,2.564121220622426,0.0,0.0,0.0,6.053400033954652,2.989538437602863,0.0,0.2805376699947947,38.36049960359644,44.666712019561274,0.0
8,0.39892310731811526,100.57528537896107,5.085191015101694,0.0,0.0,2.5641212209585675,0.0,0.0,0.0,6.053400034845902,2.989538436430869,0.0,0.2805376702854184,38.36049960219669,44.66671202018086,0.0,,0.39892310731811526,100.63311549419038,5.085191014667559,0.0,0.0,2.564121220622426,0.0,0.0,0.0,6.053400033954652,2.989538437602863,0.0,0.2805376699947947,38.36049960359644,44.666712019561274,0.0
9,0.399438806678914,100.64344147389615,6.208607828383851,0.0,0.0,2.0673201188577233,0.0,0.0,0.0,7.658635844177675,2.006882022848164,0.0,1.0551542844399293,38.077303597659245,42.92609630363341,0.0,,0.399438806678914,100.64344147389619,6.2086078282962935,0.0,0.0,2.067320118847083,0.0,0.0,0.0,7.658635843717568,2.0068820230797186,0.0,1.055154284521267,38.07730359801413,42.92609630352395,0.0
10,0.4236898517854632,100.71159756883121,8.053152886934049,0.0,0.0,2.5708705831861822,0.0,3.391430639632657,0.0,8.774368724580532,3.2611056960185567,0.0,3.485403604572706,61.464707108012085,8.998960757063237,0.0,,0.4236898517854632,100.71159756883104,8.053152886948904,0.0,0.0,2.5708705831802927,0.0,3.3914306395956384,0.0,8.774368724639077,3.2611056959775624,0.0,3.4854036045684054,61.46470710781578,8.998960757274366,0.0
11,0.47245935347442264,100.77975366376629,12.46396139288012,0.0,0.0,5.273453854933208,0.0,0.0,0.0,11.943917881948622,7.95781363158328,0.0,2.358961670347715,60.00189156833365,0.0,0.0,,0.47245935347442264,100.7797536637529,12.46396139061504,0.0,0.0,5.273453854941746,0.0,0.0,0.0,11.943917888067107,7.957813624946374,0.0,2.358961672211113,60.00189156921861,0.0,0.0
